Route,N,%
OAK-AP_N-SimmonsCeiling to OAK-AP_N-Portal,721,2.3042505592841
MNH-AP_N-DinoHall to MNH-AP_N-BirdLab,426,1.3614573346117
MNH-AP_N-BirdLab to CMA-AP_N-Library,422,1.348673697667
OAK-AP_N-Portal to MNH-AP_N-EarthTheater,419,1.3390859699585
CMA-AP_N-Heinz-Front to CMA-AP_N-Heinz-BC,302,0.96516458932566
CMA-AP_N-CoatRoom to MNH-AP_N-BirdLab,291,0.93000958772771
CMA-AP_N-AOTA to OAK-AP_N-GrandStaircase,273,0.87248322147651
MNH-AP_N-BirdLab to CMA-AP_N-Heinz-Front,265,0.84691594758709
MNH-AP_N-DinoHall to MNH-AP_N-EarthTheater,256,0.81815276446149
OAK-AP_N-Portal to CMA-AP_N-CoatRoom,247,0.78938958133589
CMA-AP_N-ScaifeD17 to OAK-AP_N-GreenRight,246,0.78619367209971
CMA-AP_N-Library to CMA-AP_N-AOTA,241,0.77021412591882
MNH-AP_N-B_L-Hall to OAK-AP_N-CarriageDrive,236,0.75423457973794
MNH-AP_N-Gems to MNH-AP_N-B_L-Hall,212,0.67753275806967
OAK-AP_N-MH-TicketOffice to OAK-AP_N-GreenLeft,211,0.67433684883349
OAK-AP_N-MH-TicketOffice to OAK-AP_N-GreenRight,176,0.56248002556727
CMA-AP_N-Library to CMA-AP_N-CMATheater,176,0.56248002556727
MNH-AP_N-B_L-Hall to CMA-AP_N-BalconyGallery,176,0.56248002556727
MNH-AP_N-BirdLab to OAK-AP_N-ParhurstMeetingRoom,174,0.55608820709492
OAK-AP_N-CME to MNH-AP_N-Gems,171,0.54650047938639
CMA-AP_N-HACOffice to CMA-AP_N-Heinz-BC,157,0.5017577500799
MNH-AP_N-BirdLab to OAK-AP_N-CME,157,0.5017577500799
CMA-AP_N-ScaifeD14 to OAK-AP_N-ParhurstMeetingRoom,153,0.48897411313519
OAK-AP_N-Portal to CMA-AP_N-Heinz-Front,151,0.48258229466283
MNH-AP_N-EarthTheater to 4615-AP_N-Finance,151,0.48258229466283
CMA-AP_N-BalconyGallery to CMA-AP_N-HACOffice,148,0.4729945669543
OAK-AP_N-GreenLeft to OAK-AP_N-GreenRight,147,0.46979865771812
CMA-AP_N-ScaifeD8 to OAK-AP_N-ParhurstMeetingRoom,137,0.43783956535634
CMA-AP_N-Library to OAK-AP_N-Portal,128,0.40907638223074
OAK-AP_N-ParhurstMeetingRoom to CMA-AP_N-AOTA,123,0.39309683604986
MNH-AP_N-DinoHall to OAK-AP_N-CME,123,0.39309683604986
CMA-AP_N-CMATheater to MNH-AP_N-BirdLab,122,0.38990092681368
CMA-AP_N-CoatRoom to CMA-AP_N-Library,116,0.37072547139661
OAK-AP_N-SimmonsCeiling to MNH-AP_N-DinoHall,115,0.36752956216043
OAK-AP_N-SimmonsCeiling to 4615-AP_N-Finance,114,0.36433365292426
MNH-AP_N-EarthTheater to OAK-AP_N-SimmonsCeiling,111,0.35474592521572
OAK-AP_N-GreenRight to MNH-AP_N-PolarWorld,110,0.35155001597955
CMA-AP_N-HACOffice to OAK-AP_N-GrandStaircase,107,0.34196228827101
OAK-AP_N-GrandStaircase to CMA-AP_N-ScaifeD17,99,0.31639501438159
MNH-AP_N-PolarWorld to CMA-AP_N-ScaifeD17,98,0.31319910514541
CMA-AP_N-ScaifeD17 to CMA-AP_N-AOTA,91,0.29082774049217
OAK-AP_N-CarriageDrive to CMA-AP_N-BruceFront,90,0.28763183125599
MNH-AP_N-PolarWorld to MNH-AP_N-AmericanIndian,87,0.27804410354746
MNH-AP_N-BirdLab to MNH-AP_N-EarthTheater,87,0.27804410354746
OAK-AP_N-CarriageDrive to OAK-AP_N-GreenRight,82,0.26206455736657
CMA-AP_N-ScaifeD11 to CMA-AP_N-AOTA,79,0.25247682965804
CMA-AP_N-ScaifeD17 to CMA-AP_N-HACOffice,79,0.25247682965804
CMA-AP_N-ScaifeD17 to CMA-AP_N-CoatRoom,74,0.23649728347715
OAK-AP_N-GrandStaircase to MNH-AP_N-PolarWorld,73,0.23330137424097
OAK-AP_N-Portal to CMA-AP_N-CMATheater,68,0.21732182806008
MNH-AP_N-BirdLab to CMA-AP_N-Heinz-BC,68,0.21732182806008
OAK-AP_N-ParhurstMeetingRoom to CMA-AP_N-ScaifeD17,66,0.21093000958773
OAK-AP_N-Portal to MNH-AP_N-B_L-Hall,66,0.21093000958773
CMA-AP_N-ScaifeD17 to OAK-AP_N-GreenLeft,56,0.17897091722595
CMA-AP_N-Library to CMA-AP_N-HeinzD16,56,0.17897091722595
CMA-AP_N-Library to OAK-AP_N-ParhurstMeetingRoom,55,0.17577500798977
OAK-AP_N-CME to CMA-AP_N-CoatRoom,55,0.17577500798977
CMA-AP_N-CMATheater to CMA-AP_N-ScaifeD2,55,0.17577500798977
CMA-AP_N-CMATheater to CMA-AP_N-Heinz-Front,54,0.1725790987536
OAK-AP_N-GrandStaircase to OAK-AP_N-ParhurstMeetingRoom,52,0.16618728028124
Oak-AP_N-MH_BackStage to OAK-AP_N-MH-TicketOffice,51,0.16299137104506
